pair,token0_change_pct,token1_change_pct,uniswap_return_pct,uniswap_final_value,strategy_name,token0_long_pct,token1_long_pct,pennysia_return_pct,pennysia_final_value,advantage_vs_uniswap
ETH/GALA,359.54842340290793,3253.8910857687597,4653.823124691406,2376911.5623457027,50% Long Token0 + 50% Long Token1 (Balanced),50,50,30077.232680438818,15088616.340219408,25423.409555747414
ETH/GALA,359.54842340290793,3253.8910857687597,4653.823124691406,2376911.5623457027,25% Long Token0 + 75% Long Token1,25,75,44527.64176570225,22313820.882851124,39873.81864101084
ETH/GALA,359.54842340290793,3253.8910857687597,4653.823124691406,2376911.5623457027,100% Short Token0 + 100% Long Token1,0,100,58978.05085096568,29539025.42548284,54324.22772627427
ETH/LINK,359.54842340290793,73.3702104443664,340.1566228632455,220078.31143162277,100% Long Token0 + 100% Short Token1,100,0,1031.8040167202635,565902.0083601318,691.647393857018
ETH/LINK,359.54842340290793,73.3702104443664,340.1566228632455,220078.31143162277,75% Long Token0 + 25% Long Token1,75,25,794.0474820364841,447023.741018242,453.8908591732386
ETH/LINK,359.54842340290793,73.3702104443664,340.1566228632455,220078.31143162277,50% Long Token0 + 50% Long Token1 (Balanced),50,50,556.2909473527046,328145.4736763523,216.13432448945912
ETH/LINK,359.54842340290793,73.3702104443664,340.1566228632455,220078.31143162277,25% Long Token0 + 75% Long Token1,25,75,318.53441266892526,209267.20633446262,-21.622210194320246
ETH/LINK,359.54842340290793,73.3702104443664,340.1566228632455,220078.31143162277,100% Short Token0 + 100% Long Token1,0,100,80.77787798514586,90388.93899257293,-259.3787448780996
ETH/USDC,359.54842340290793,0.005502482794161878,431.35771260013246,265678.8563000662,100% Long Token0 + 100% Short Token1,100,0,1058.71995547213,579359.977736065,627.3622428719976
ETH/USDC,359.54842340290793,0.005502482794161878,431.35771260013246,265678.8563000662,75% Long Token0 + 25% Long Token1,75,25,787.9107663381063,443955.3831690531,356.55305373797387
ETH/USDC,359.54842340290793,0.005502482794161878,431.35771260013246,265678.8563000662,50% Long Token0 + 50% Long Token1 (Balanced),50,50,517.1015772040824,308550.78860204126,85.74386460394999
ETH/USDC,359.54842340290793,0.005502482794161878,431.35771260013246,265678.8563000662,25% Long Token0 + 75% Long Token1,25,75,246.29238807005885,173146.19403502942,-185.0653245300736
ETH/USDC,359.54842340290793,0.005502482794161878,431.35771260013246,265678.8563000662,100% Short Token0 + 100% Long Token1,0,100,-24.51680106396481,37741.59946801759,-455.87451366409726
ETH/USDT,359.54842340290793,-0.3835719642423019,432.2074237262552,266103.7118631276,100% Long Token0 + 100% Short Token1,100,0,1058.7192199862577,579359.6099931289,626.5117962600025
ETH/USDT,359.54842340290793,-0.3835719642423019,432.2074237262552,266103.7118631276,75% Long Token0 + 25% Long Token1,75,25,787.8082757463965,443904.1378731982,355.6008520201413
ETH/USDT,359.54842340290793,-0.3835719642423019,432.2074237262552,266103.7118631276,50% Long Token0 + 50% Long Token1 (Balanced),50,50,516.8973315065352,308448.6657532676,84.68990778028007
ETH/USDT,359.54842340290793,-0.3835719642423019,432.2074237262552,266103.7118631276,25% Long Token0 + 75% Long Token1,25,75,245.98638726667397,172993.19363333698,-186.2210364595812
ETH/USDT,359.54842340290793,-0.3835719642423019,432.2074237262552,266103.7118631276,100% Short Token0 + 100% Long Token1,0,100,-24.924556973187308,37537.721513406344,-457.13198069944247
GALA/LINK,3253.8910857687597,73.3702104443664,7517.322619823651,3808661.309911825,100% Long Token0 + 100% Short Token1,100,0,58978.157490892285,29539078.74544614,51460.83487106863
GALA/LINK,3253.8910857687597,73.3702104443664,7517.322619823651,3808661.309911825,75% Long Token0 + 25% Long Token1,75,25,44289.99187094507,22194995.935472537,36772.66925112142
GALA/LINK,3253.8910857687597,73.3702104443664,7517.322619823651,3808661.309911825,50% Long Token0 + 50% Long Token1 (Balanced),50,50,29601.826250997863,14850913.12549893,22084.50363117421
GALA/LINK,3253.8910857687597,73.3702104443664,7517.322619823651,3808661.309911825,25% Long Token0 + 75% Long Token1,25,75,14913.660631050649,7506830.315525325,7396.338011226998
GALA/LINK,3253.8910857687597,73.3702104443664,7517.322619823651,3808661.309911825,100% Short Token0 + 100% Long Token1,0,100,225.49501110343843,162747.50555171922,-7291.827608720212
GALA/USDC,3253.8910857687597,0.005502482794161878,9911.62727371916,5005813.63685958,100% Long Token0 + 100% Short Token1,100,0,59005.073429644144,29552536.714822073,49093.44615592498
GALA/USDC,3253.8910857687597,0.005502482794161878,9911.62727371916,5005813.63685958,75% Long Token0 + 25% Long Token1,75,25,44283.855155246696,22191927.57762335,34372.227881527535
GALA/USDC,3253.8910857687597,0.005502482794161878,9911.62727371916,5005813.63685958,50% Long Token0 + 50% Long Token1 (Balanced),50,50,29562.636880849237,14831318.44042462,19651.00960713008
GALA/USDC,3253.8910857687597,0.005502482794161878,9911.62727371916,5005813.63685958,25% Long Token0 + 75% Long Token1,25,75,14841.418606451782,7470709.303225892,4929.791332732622
GALA/USDC,3253.8910857687597,0.005502482794161878,9911.62727371916,5005813.63685958,100% Short Token0 + 100% Long Token1,0,100,120.20033205432776,110100.16602716388,-9791.426941664831
GALA/USDT,3253.8910857687597,-0.3835719642423019,9931.090355198854,5015545.177599427,100% Long Token0 + 100% Short Token1,100,0,59005.072694158276,29552536.347079135,49073.982338959424
GALA/USDT,3253.8910857687597,-0.3835719642423019,9931.090355198854,5015545.177599427,75% Long Token0 + 25% Long Token1,75,25,44283.75266465499,22191876.332327493,34352.66230945614
GALA/USDT,3253.8910857687597,-0.3835719642423019,9931.090355198854,5015545.177599427,50% Long Token0 + 50% Long Token1 (Balanced),50,50,29562.43263515169,14831216.317575846,19631.342279952834
GALA/USDT,3253.8910857687597,-0.3835719642423019,9931.090355198854,5015545.177599427,25% Long Token0 + 75% Long Token1,25,75,14841.112605648399,7470556.302824199,4910.022250449545
GALA/USDT,3253.8910857687597,-0.3835719642423019,9931.090355198854,5015545.177599427,100% Short Token0 + 100% Long Token1,0,100,119.7925761451053,109896.28807255265,-9811.297779053748
LINK/USDC,73.3702104443664,0.005502482794161878,56.675426983071816,78337.7134915359,100% Long Token0 + 100% Short Token1,100,0,107.80045666361389,103900.22833180695,51.12502968054207
LINK/USDC,73.3702104443664,0.005502482794161878,56.675426983071816,78337.7134915359,75% Long Token0 + 25% Long Token1,75,25,74.74780221336958,87373.90110668479,18.072375230297766
LINK/USDC,73.3702104443664,0.005502482794161878,56.675426983071816,78337.7134915359,50% Long Token0 + 50% Long Token1 (Balanced),50,50,41.695147763125306,70847.57388156265,-14.98027921994651
LINK/USDC,73.3702104443664,0.005502482794161878,56.675426983071816,78337.7134915359,25% Long Token0 + 75% Long Token1,25,75,8.642493312881028,54321.24665644051,-48.032933670190786
LINK/USDC,73.3702104443664,0.005502482794161878,56.675426983071816,78337.7134915359,100% Short Token0 + 100% Long Token1,0,100,-24.410161137363275,37794.91943131836,-81.08558812043509
LINK/USDT,73.3702104443664,-0.3835719642423019,56.67672890294335,78338.36445147167,100% Long Token0 + 100% Short Token1,100,0,107.79972117774173,103899.86058887086,51.12299227479838
LINK/USDT,73.3702104443664,-0.3835719642423019,56.67672890294335,78338.36445147167,75% Long Token0 + 25% Long Token1,75,25,74.64531162165984,87322.65581082992,17.96858271871649
LINK/USDT,73.3702104443664,-0.3835719642423019,56.67672890294335,78338.36445147167,50% Long Token0 + 50% Long Token1 (Balanced),50,50,41.49090206557797,70745.45103278899,-15.185826837365383
LINK/USDT,73.3702104443664,-0.3835719642423019,56.67672890294335,78338.36445147167,25% Long Token0 + 75% Long Token1,25,75,8.336492509496107,54168.24625474805,-48.34023639344724
LINK/USDT,73.3702104443664,-0.3835719642423019,56.67672890294335,78338.36445147167,100% Short Token0 + 100% Long Token1,0,100,-24.81791704658578,37591.04147670711,-81.49464594952913
USDC/USDT,0.005502482794161878,-0.3835719642423019,2.8058800268330186,51402.940013416504,100% Long Token0 + 100% Short Token1,100,0,2.50504212863103,51252.521064315515,-0.3008378982019888
USDC/USDT,0.005502482794161878,-0.3835719642423019,2.8058800268330186,51402.940013416504,75% Long Token0 + 25% Long Token1,75,25,2.4032870227934433,51201.643511396716,-0.4025930040395753
USDC/USDT,0.005502482794161878,-0.3835719642423019,2.8058800268330186,51402.940013416504,50% Long Token0 + 50% Long Token1 (Balanced),50,50,2.301531916955857,51150.76595847793,-0.5043481098771618
USDC/USDT,0.005502482794161878,-0.3835719642423019,2.8058800268330186,51402.940013416504,25% Long Token0 + 75% Long Token1,25,75,2.1997768111182703,51099.88840555914,-0.6061032157147483
USDC/USDT,0.005502482794161878,-0.3835719642423019,2.8058800268330186,51402.940013416504,100% Short Token0 + 100% Long Token1,0,100,2.098021705280706,51049.01085264035,-0.7078583215523127
